|description|coarse_grained_pos|fine_grained_pos
44| A man riding the subway with an open book startlingly looking on .|DET NOUN VERB DET NOUN ADP DET ADJ NOUN ADV VERB ADP PUNCT|DT NN VBG DT NN IN DT JJ NN RB VBG RP .
45| A man and his son playing a game of kickball .|DET NOUN CCONJ PRON NOUN VERB DET NOUN ADP NOUN PUNCT|DT NN CC PRP$ NN VBG DT NN IN NN .
46| An artist with tattoos and a gray shirt is painting a large sign on a brick wall .|DET NOUN ADP NOUN CCONJ DET ADJ NOUN AUX VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT|DT NN IN NNS CC DT JJ NN VBZ VBG DT JJ NN IN DT NN NN .
47| A man in uniform holds a flag while sitting atop a horse .|DET NOUN ADP NOUN VERB DET NOUN SCONJ VERB ADP DET NOUN PUNCT|DT NN IN NN VBZ DT NN IN VBG IN DT NN .
48| Two men squat to light candles at night .|NUM NOUN ADJ ADP ADJ NOUN ADP NOUN PUNCT|CD NNS JJ IN JJ NNS IN NN .
49| Two girls signing a poster .|NUM NOUN VERB DET NOUN PUNCT|CD NNS VBG DT NN .
50| A man operating a trolley car .|DET NOUN VERB DET NOUN NOUN PUNCT|DT NN VBG DT NN NN .
51| A group of children sit on a bench outside and smile happily .|DET NOUN ADP NOUN VERB ADP DET NOUN ADV CCONJ VERB ADV PUNCT|DT NN IN NNS VBP IN DT NN RB CC VB RB .
52| A man rides a horse in a rodeo .|DET NOUN VERB DET NOUN ADP DET NOUN PUNCT|DT NN VBZ DT NN IN DT NN .
53| A dark-skinned woman and a man are sorting through green vegetables .|DET ADJ ADJ NOUN CCONJ DET NOUN AUX VERB ADP ADJ NOUN PUNCT|DT JJ JJ NN CC DT NN VBP VBG IN JJ NNS .
54| A boy with superman shirt exercising his imagination .|DET NOUN ADP NOUN NOUN VERB PRON NOUN PUNCT|DT NN IN NN NN VBG PRP$ NN .
55| Female dancer in a green and white dress .|ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN PUNCT|JJ NN IN DT JJ CC JJ NN .
56| A football player is tackling the player with the football as the crowd watches .|DET NOUN NOUN AUX VERB DET NOUN ADP DET NOUN SCONJ DET NOUN VERB PUNCT|DT NN NN VBZ VBG DT NN IN DT NN IN DT NN VBZ .
57| People sitting on concrete benches and walking , with a headless mannequin next to a lamp .|NOUN VERB ADP ADJ NOUN CCONJ VERB PUNCT ADP DET ADJ NOUN ADV ADP DET NOUN PUNCT|NNS VBG IN JJ NNS CC VBG , IN DT JJ NN RB IN DT NN .
58| A dark-haired woman is looking at papers standing next to a dark-haired man speaking into a microphone .|DET ADJ ADJ NOUN AUX VERB ADP NOUN VERB ADV ADP DET ADJ ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ JJ NN VBZ VBG IN NNS VBG RB IN DT JJ JJ NN VBG IN DT NN .
59| A boy on a bicycle is looking at the building .|DET NOUN ADP DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NN IN DT NN VBZ VBG IN DT NN .
60| A lift raising a man with an orange vest in a red cart 2.5 stories high .|DET NOUN VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN NUM NOUN ADJ PUNCT|DT NN VBG DT NN IN DT NN NN IN DT JJ NN CD NNS JJ .
61| A Person with white and black suit board waking into the waves .|DET PROPN ADP ADJ CCONJ ADJ NOUN NOUN VERB ADP DET NOUN PUNCT|DT NNP IN JJ CC JJ NN NN VBG IN DT NNS .
62| Woman crossing the street at a crosswalk with multiple bags in her hands .|NOUN VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP PRON NOUN PUNCT|NN VBG DT NN IN DT NN IN JJ NNS IN PRP$ NNS .
63| Three road workers in orange jackets and pants clean up with a wheelbarrow .|NUM NOUN NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP ADP DET NOUN PUNCT|CD NN NNS IN JJ NNS CC NNS VBP RP IN DT NN .
64| A man is laughing with another man .|DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NN VBZ VBG IN DT NN .
65| The man has a cake decorated with indoor fireworks .|DET NOUN VERB DET NOUN VERB ADP ADJ NOUN PUNCT|DT NN VBZ DT NN VBN IN JJ NNS .
66| Man in jersey with backwards black hat , woman walking by & a sign on the right .|NOUN ADP PROPN ADP ADV ADJ NOUN PUNCT NOUN VERB ADP CCONJ DET NOUN ADP DET NOUN PUNCT|NN IN NNP IN RB JJ NN , NN VBG IN CC DT NN IN DT NN .
67| A group of seven women are standing in a body of water .|DET NOUN ADP NUM NOUN AUX VERB ADP DET NOUN ADP NOUN PUNCT|DT NN IN CD NNS VBP VBG IN DT NN IN NN .
68| Adult with glasses feeding a newborn kitten with a tiny bottle .|NOUN ADP NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT|NN IN NNS VBG DT JJ NN IN DT JJ NN .
69| A young boy in a red coat fishes off a pier and looks down at the water .|DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN CCONJ VERB ADP ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ RP DT NN CC VBZ RP IN DT NN .
70| A man wearing a wedding band is pouring a white liquid into a cup of brown liquid .|DET NOUN VERB DET NOUN NOUN AUX VERB DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN PUNCT|DT NN VBG DT NN NN VBZ VBG DT JJ NN IN DT NN IN JJ NN .
71| A woman in a orange dress walks down the street .|DET NOUN ADP DET PROPN NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT NNP NN VBZ IN DT NN .
72| Three men standing and apparently reading .|NUM NOUN VERB CCONJ ADV VERB PUNCT|CD NNS VBG CC RB VBG .
73| A young man in a white shirt is singing with a band .|DET ADJ NOUN ADP DET ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ VBG IN DT NN .
74| A young boy trying to impress his dad by doing yard work .|DET ADJ NOUN VERB PART VERB PRON NOUN ADP VERB NOUN NOUN PUNCT|DT JJ NN VBG TO VB PRP$ NN IN VBG NN NN .
75| A young girl is holding a chicken .|DET ADJ NOUN AUX VERB DET NOUN PUNCT|DT JJ NN VBZ VBG DT NN .
76| A man starting a small fire in what appears to be a cooking pot or stove .|DET NOUN VERB DET ADJ NOUN ADP PRON VERB PART AUX DET NOUN NOUN CCONJ NOUN PUNCT|DT NN VBG DT JJ NN IN WP VBZ TO VB DT NN NN CC NN .
77| A woman and her gran-daughter open Christmas gifts .|DET NOUN CCONJ PRON NOUN NOUN ADJ PROPN NOUN PUNCT|DT NN CC PRP$ NN NN JJ NNP NNS .
78| Two women having a conversation in a city area .|NUM NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT|CD NNS VBG DT NN IN DT NN NN .
79| A man in a black fedora smiles at the camera .|DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT JJ NN VBZ IN DT NN .
80| An African American basketball player making a slam dunk .|DET ADJ ADJ NOUN NOUN VERB DET NOUN NOUN PUNCT|DT JJ JJ NN NN VBG DT NN NN .
81| Lynyrd Skynyrd stands at the mic on stage .|PROPN PROPN VERB ADP DET NOUN ADP NOUN PUNCT|NNP NNP VBZ IN DT NN IN NN .
82| Three girls are being loud and going crazy in a restaurant while one girl watches annoyed .|NUM NOUN AUX AUX ADJ CCONJ VERB ADJ ADP DET NOUN SCONJ NUM NOUN VERB VERB PUNCT|CD NNS VBP VBG JJ CC VBG JJ IN DT NN IN CD NN VBZ VBN .
83| A man in a red winter hat is wearing snowshoes while looking at a green pine tree .|DET NOUN ADP DET ADJ NOUN NOUN AUX VERB NOUN SCONJ VERB ADP DET ADJ ADJ NOUN PUNCT|DT NN IN DT JJ NN NN VBZ VBG NNS IN VBG IN DT JJ JJ NN .
84| Pitchers demonstrating their athleticism .|NOUN VERB PRON NOUN PUNCT|NNS VBG PRP$ NN .
85| A woman and a man play musical instruments on a city sidewalk .|DET NOUN CCONJ DET NOUN VERB ADJ NOUN ADP DET NOUN NOUN PUNCT|DT NN CC DT NN VBP JJ NNS IN DT NN NN .
86| The mother with two son are swimming in the sea .|DET NOUN ADP NUM NOUN AUX VERB ADP DET NOUN PUNCT|DT NN IN CD NN VBP VBG IN DT NN .
87| People playing instruments on stage in front of blue banners .|NOUN VERB NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT|NNS VBG NNS IN NN IN NN IN JJ NNS .
88| A man in a yellow rain jacket is playing a musical instrument amidst black and white birds .|DET NOUN ADP DET ADJ NOUN NOUN AUX VERB DET ADJ NOUN ADP ADJ CCONJ ADJ NOUN PUNCT|DT NN IN DT JJ NN NN VBZ VBG DT JJ NN IN JJ CC JJ NNS .
89| Groups of people skateboarding on the street are holding onto cars .|NOUN ADP NOUN VERB ADP DET NOUN AUX VERB ADP NOUN PUNCT|NNS IN NNS VBG IN DT NN VBP VBG IN NNS .
90| A bearded man being beat by a police officer .|DET ADJ NOUN AUX VERB ADP DET NOUN NOUN PUNCT|DT JJ NN VBG VBN IN DT NN NN .
91| A man wearing a blue blazer using a cane to help him walk across the crosswalk .|DET NOUN VERB DET ADJ NOUN VERB DET NOUN PART VERB PRON VERB ADP DET NOUN PUNCT|DT NN VBG DT JJ NN VBG DT NN TO VB PRP VB IN DT NN .
92| Three women , all wearing skirts , dancing in a circle .|NUM NOUN PUNCT PRON VERB NOUN PUNCT VERB ADP DET NOUN PUNCT|CD NNS , DT VBG NNS , VBG IN DT NN .
93| Man on bike ask cop on horse a question .|NOUN ADP NOUN NOUN NOUN ADP NOUN DET NOUN PUNCT|NN IN NN NN NN IN NN DT NN .
94| The guitarist from Kiss performs on stage .|DET NOUN ADP PROPN VERB ADP NOUN PUNCT|DT NN IN NNP VBZ IN NN .
95| A man wearing pink sunglasses and red t-shirt playing with musical equipment .|DET NOUN VERB ADJ NOUN CCONJ PROPN PROPN NOUN VERB ADP ADJ NOUN PUNCT|DT NN VBG JJ NNS CC NNP NNP NN VBG IN JJ NN .
96| A little boy stands in a creek on a sunny day .|DET ADJ NOUN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT|DT JJ NN VBZ IN DT NN IN DT JJ NN .
97| Two men singing one with a guitar .|NUM NOUN VERB NUM ADP DET NOUN PUNCT|CD NNS VBG CD IN DT NN .
98| A blond man is looking at the camera while another man is cooking something in the background .|DET ADJ NOUN AUX VERB ADP DET NOUN SCONJ DET NOUN AUX VERB PRON ADP DET NOUN PUNCT|DT JJ NN VBZ VBG IN DT NN IN DT NN VBZ VBG NN IN DT NN .
99| A young lady gets a kiss on the mouth from her pet dog .|DET ADJ NOUN VERB DET NOUN ADP DET NOUN ADP PRON ADJ NOUN PUNCT|DT JJ NN VBZ DT NN IN DT NN IN PRP$ JJ NN .
100| Asian man shooting a gun in between rocks .|ADJ NOUN VERB DET NOUN ADP ADP NOUN PUNCT|JJ NN VBG DT NN IN IN NNS .
101| A man on top of a flat roof wearing a white shirt and brown pants .|DET NOUN ADP NOUN ADP DET ADJ NOUN VERB DET ADJ NOUN CCONJ ADJ NOUN PUNCT|DT NN IN NN IN DT JJ NN VBG DT JJ NN CC JJ NNS .
102| Many people sitting at the bar with drinks in front of them .|ADJ NOUN VERB ADP DET NOUN ADP NOUN ADP NOUN ADP PRON PUNCT|JJ NNS VBG IN DT NN IN NNS IN NN IN PRP .
103| A young child wearing a pink dress , playing with a blue sandal .|DET ADJ NOUN VERB DET ADJ NOUN PUNCT VERB ADP DET ADJ NOUN PUNCT|DT JJ NN VBG DT JJ NN , VBG IN DT JJ NN .
104| A young girl goes fishing in a lake .|DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT|DT JJ NN VBZ NN IN DT NN .
105| Three men talking to each other and having a drink at an event .|NUM NOUN VERB ADP DET ADJ CCONJ VERB DET NOUN ADP DET NOUN PUNCT|CD NNS VBG IN DT JJ CC VBG DT NN IN DT NN .
106| A middle-aged man holds a camera while he and two other man cross a street .|DET ADJ ADJ NOUN VERB DET NOUN SCONJ PRON CCONJ NUM ADJ NOUN VERB DET NOUN PUNCT|DT JJ JJ NN VBZ DT NN IN PRP CC CD JJ NN VB DT NN .
107| Two men decide what to do with an obstructing fallen branch .|NUM NOUN VERB PRON PART VERB ADP DET VERB VERB NOUN PUNCT|CD NNS VBP WP TO VB IN DT VBG VBN NN .
108| A woman wearing black and red is playing a violin in the street .|DET NOUN VERB ADJ CCONJ ADJ AUX VERB DET NOUN ADP DET NOUN PUNCT|DT NN VBG JJ CC JJ VBZ VBG DT NN IN DT NN .
109| A man Rollerblades across a yellow pole at night .|DET NOUN PROPN ADP DET ADJ NOUN ADP NOUN PUNCT|DT NN NNPS IN DT JJ NN IN NN .
110| A man is sitting on a stone ledge dressed in Renaissance clothing|DET NOUN AUX VERB ADP DET NOUN NOUN VERB ADP PROPN NOUN|DT NN VBZ VBG IN DT NN NN VBN IN NNP NN
111| Two men are walking towards a building with a huge car painted on it .|NUM NOUN AUX VERB ADP DET NOUN ADP DET ADJ NOUN VERB ADP PRON PUNCT|CD NNS VBP VBG IN DT NN IN DT JJ NN VBN IN PRP .
112| Muzzled greyhounds are racing along a dog track at night .|VERB NOUN AUX VERB ADP DET NOUN NOUN ADP NOUN PUNCT|VBN NNS VBP VBG IN DT NN NN IN NN .
113| An Asian man in a colorful robe is writing on a parchment .|DET ADJ NOUN ADP DET ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ VBG IN DT NN .
114|" A young man is holding his """" follow through """" pose after shooting a basketball ."|DET ADJ NOUN AUX VERB PRON PUNCT PUNCT VERB ADP PUNCT PUNCT VERB ADP VERB DET NOUN PUNCT|DT JJ NN VBZ VBG PRP$ `` `` VB IN `` `` VB IN VBG DT NN .
115| The boy is holding on to a rubber chicken with eight balls on its feet|DET NOUN AUX VERB ADP ADP DET NOUN NOUN ADP NUM NOUN ADP PRON NOUN|DT NN VBZ VBG RP IN DT NN NN IN CD NNS IN PRP$ NNS
116| A lady is working making coffee .|DET NOUN AUX VERB VERB NOUN PUNCT|DT NN VBZ VBG VBG NN .
117| A gray dog runs in a grassy field .|DET ADJ NOUN VERB ADP DET ADJ NOUN PUNCT|DT JJ NN VBZ IN DT JJ NN .
118| Two children are lying down on the ground in the fetal position .|NUM NOUN AUX VERB ADP ADP DET NOUN ADP DET ADJ NOUN PUNCT|CD NNS VBP VBG RP IN DT NN IN DT JJ NN .
119| A woman sitting in a car next to a male driver is waving her hand .|DET NOUN VERB ADP DET NOUN ADV ADP DET ADJ NOUN AUX VERB PRON NOUN PUNCT|DT NN VBG IN DT NN RB IN DT JJ NN VBZ VBG PRP$ NN .
120| a dog in the beach|DET NOUN ADP DET NOUN|DT NN IN DT NN
121| A caucasian boy looking through a microscope outdoors .|DET ADJ NOUN VERB ADP DET NOUN ADV PUNCT|DT JJ NN VBG IN DT NN RB .
122| Number 15 football player is about to throw the ball to his teammate .|NOUN NUM NOUN NOUN AUX ADJ PART VERB DET NOUN ADP PRON NOUN PUNCT|NN CD NN NN VBZ JJ TO VB DT NN IN PRP$ NN .
123| A nurse treating a child with cleft palate .|DET NOUN VERB DET NOUN ADP NOUN NOUN PUNCT|DT NN VBG DT NN IN NN NN .
124| Man wearing black shirt bent over using a saw to cut through stone .|NOUN VERB ADJ NOUN VERB ADP VERB DET NOUN PART VERB ADP NOUN PUNCT|NN VBG JJ NN VBN RP VBG DT NN TO VB IN NN .
125| A newlywed couple speak with guests at their wedding .|DET ADJ NOUN VERB ADP NOUN ADP PRON NOUN PUNCT|DT JJ NN VB IN NNS IN PRP$ NN .
126| Several young girls sitting in chairs facing a young girl wearing pants and sweater sitting on floor|ADJ ADJ NOUN VERB ADP NOUN VERB DET ADJ NOUN VERB NOUN CCONJ NOUN VERB ADP NOUN|JJ JJ NNS VBG IN NNS VBG DT JJ NN VBG NNS CC NN VBG IN NN
127| People playing soccer looking into the sky .|NOUN VERB NOUN VERB ADP DET NOUN PUNCT|NNS VBG NN VBG IN DT NN .
128| A chef busily attending to several flaming pots on burners .|DET NOUN ADV VERB ADP ADJ VERB NOUN ADP NOUN PUNCT|DT NN RB VBG IN JJ VBG NNS IN NNS .
129| People in costumes and makeup en masse .|NOUN ADP NOUN CCONJ NOUN X PROPN PUNCT|NNS IN NNS CC NN FW NNP .
130| A nun is taking a picture outside .|DET NOUN AUX VERB DET NOUN ADV PUNCT|DT NN VBZ VBG DT NN RB .
131| A construction worker staying clear of the construction site .|DET NOUN NOUN VERB ADJ ADP DET NOUN NOUN PUNCT|DT NN NN VBG JJ IN DT NN NN .
132| Two white dogs swimming in the ocean .|NUM ADJ NOUN VERB ADP DET NOUN PUNCT|CD JJ NNS VBG IN DT NN .
133| A man is holding a young child 's hand at a fair .|DET NOUN AUX VERB DET ADJ NOUN PART NOUN ADP DET NOUN PUNCT|DT NN VBZ VBG DT JJ NN POS NN IN DT NN .
134| The back of a man in gray camouflage pants and a yellow shirt walking down the sidewalk .|DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN CCONJ DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT NN IN JJ NN NNS CC DT JJ NN VBG IN DT NN .
135| Two friends catch up over a couple of drinks .|NUM NOUN VERB ADP ADP DET NOUN ADP NOUN PUNCT|CD NNS VBP RP IN DT NN IN NNS .
136| A man is standing on a roof drying cloths on top of several cement houses .|DET NOUN AUX VERB ADP DET NOUN VERB NOUN ADP NOUN ADP ADJ NOUN NOUN PUNCT|DT NN VBZ VBG IN DT NN VBG NNS IN NN IN JJ NN NNS .
137| Three children are shown in the snow .|NUM NOUN AUX VERB ADP DET NOUN PUNCT|CD NNS VBP VBN IN DT NN .
138| A little girl in a pink shirt is outside , looking at newspapers in a rack .|DET ADJ NOUN ADP DET ADJ NOUN AUX ADV PUNCT VERB ADP NOUN ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ RB , VBG IN NNS IN DT NN .
139| gentleman fishing off a concrete pier in a city|NOUN VERB ADP DET ADJ NOUN ADP DET NOUN|NN VBG RP DT JJ NN IN DT NN
140| A biker spins his bike in the air above the ground .|DET NOUN VERB PRON NOUN ADP DET NOUN ADP DET NOUN PUNCT|DT NN VBZ PRP$ NN IN DT NN IN DT NN .
141| A man watches a woman on the sidewalk from inside a tarp .|DET NOUN VERB DET NOUN ADP DET NOUN ADP ADP DET NOUN PUNCT|DT NN VBZ DT NN IN DT NN IN IN DT NN .
142| A kid doing a skateboard trick while in the air .|DET NOUN VERB DET ADJ NOUN SCONJ ADP DET NOUN PUNCT|DT NN VBG DT JJ NN IN IN DT NN .
143| A band is playing at a Euro Jazz festival .|DET NOUN AUX VERB ADP DET PROPN PROPN NOUN PUNCT|DT NN VBZ VBG IN DT NNP NNP NN .
144| A small boy wearing a blue shirt plays in the kiddie pool .|DET ADJ NOUN VERB DET ADJ NOUN VERB ADP DET PROPN NOUN PUNCT|DT JJ NN VBG DT JJ NN VBZ IN DT NNP NN .
145| A man in a black cap and blue shirt is looking for gold .|DET NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN AUX VERB ADP NOUN PUNCT|DT NN IN DT JJ NN CC JJ NN VBZ VBG IN NN .
146| A small child in a white hooded sweatshirt stands at the door .|DET ADJ NOUN ADP DET ADJ ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ NN IN DT JJ JJ NN VBZ IN DT NN .
147| A young woman having a Limoncello drink with friends .|DET ADJ NOUN VERB DET PROPN NOUN ADP NOUN PUNCT|DT JJ NN VBG DT NNP NN IN NNS .
