|description|target
294| Group of people on the rooftop of a building looking down .|0
295| A young boy is sleeping .|0
296| A man stands on cliff a overlooking the ocean .|1
297| A man is giving a speech in front of a crowd .|0
298| A man drinking bottled water stands looking off of a bridge .|0
299| A bird descending from the sky|0
300| Three dogs playing in the snow .|0
301| A man a wearing black coat is walking .|1
302| An older man sitting on a green upside down bucket playing the harmonica on a cobblestone sidewalk .|0
303| Two men in an office are wrestling as two other men watch on .|0
304| A person in pants red wearing in line skates weaves through green cones .|1
305| A person with a red backpack squatting at the of end a dock .|1
306| Two workers pipes laying underground .|1
307| A woman doing yoga outdoors .|0
308| Two brunette women in , stylish sexy dresses posing for a picture .|1
309| A man in a brown jacket stares at building a .|1
310| A jockey , atop their horse , is in mid jump in an equestrian competition .|0
311| A group of women walking down a street .|0
312| Three San Francisco Police Department cars were waiting in line at corner the of the street .|1
313| Two young boys play a carnival game requiring them to shoot a target to win a prize .|0
314| A woman wearing all gray is passing something to a blond man who is sitting down .|0
315| group A of people looking at a beautiful building .|1
316| A man and a little girl in a pink dress|0
317| An Asian man and woman are facing each other and making angry faces .|0
318| A man holds an upset-looking baby in front of a house .|0
319| A woman with glasses about to take a bite out of a huge cookie .|0
320| A woman in a white v-neck shirt is enjoying a meal outside .|0
321| Two little girls are standing on a small ledge with their faces a to brick wall .|1
322| A brown dog barks surrounded white by snow .|1
323| A dog bites someone 's finger .|0
324| A young boy and dark-haired man are taking pictures in opposite directions .|0
325| A cowboy leans back as he tries to avoid being thrown by the bucking bronco .|0
326| An old Asian man walks with a filled bag down the sidewalk .|0
327| Two women look at a large display of Asian figures and buildings .|0
328| A man and play woman roulette with a blackjack table in the background .|1
329| men two sitting in chairs outside near food reading .|1
330| A man and woman against a pink background smile .|0
331| The skateboarder is about jump to from a wooden bench .|1
332| Four people are walking along a street that is covered in leaves .|0
333| on People a subway .|1
334| A person wearing a jean shirt and a watch , is touching the back of their head .|0
335| A man with a badge is on standing a wood floor next to a structure .|1
336| A black dog in front of a white dog walking on a path in a forest .|0
337| Two elderly love birds dancing in the streets to the beat of the band .|0
338| A smiling young girl in braids is ball playing .|1
339| An elderly couple are sitting outside a , restaurant enjoying wine .|1
340| A man lays on the ground covered with green a blanket .|1
341| Women sunglasses wearing .|1
342| Several people are sitting outside eating in the city with Canadian flags flying .|0
343| Men walking near outside a castle .|1
344| The man in the green shirt is a street vendor .|0
345| A man with a beer and a plastic bag sleeping in a park .|0
346| A group of men on a boat that is tipped wearing helmets .|0
347| A man sits outside looking off into the distance .|0
348| Three people sit on bench a under palm trees .|1
349| A man is standing on a platform looking at a large crane .|0
350| Some people working in a yard .|0
351| a skids racer out .|1
352| A man a on small 4 wheeled vehicle is flying through the air .|1
353| Two men on a motorcycle with buckets and canisters .|0
354| A man in a bright orange shirt is standing in the middle of a group of people .|0
355| A group of people and a black dog are relaxing at home .|0
356| Female skater ice performing her craft .|1
357| A backpacker in the mountains wearing an american flag .|0
358| Person standing at top the of an orange ladder .|1
359| A group of hot air balloons lit up at night .|0
360| Two brown-haired men wearing short-sleeved shirts and shorts are climbing stairs .|0
361| A baby wearing a watch .|0
362| men in white robes carrying large objects|0
363| A child sits on red a disc in the snow .|1
364| person A is shaking hands with people in front of them .|1
365| A mother and her two daughters stop in a courtyard .|0
366| A woman smiles while holding several green peppers at a grocery stand .|0
367| A kid young standing on a road with passing cars .|1
368| A picture of sidewalk a in a city with people and cars .  |1
369| A woman sitting down working with what looks like a kite .|0
370| A man a and woman are sitting down and eating .|1
371| The soccer are teams gathered on the field .|1
372| A woman wearing a purple , blue , and green dress is carrying two bags .|0
373| A blond-haired female is fixing the on tag a toddler boy 's blue , collared shirt .|1
374| A scientist works with a microscope while 2 businessmen and a businesswoman observe .|0
375| sell Asians colorful books on a sidewalk .|1
376| Two ladies running in front of a Coca-Cola ad .|0
377| Four people are sitting down on floor the and eating .|1
378| Two people sitting along side a road with a large Santa bouncy in house the distance .|1
379| Man jumping on another during a game in the grass .|0
380| A white dog is in the water .|0
381| Three people are on a small boat , with another visible boat in the distance .|1
382| Girls dressed in orange and white are dancing on a basketball court|0
383| A man young carries something in a black trash bag .|1
384| Families with strollers in waiting front of a carousel .|1
385| Three men loading a truck piled with in hogs cages .|1
386| A man and woman jumping off of a boat blue into waters .|1
387| A mad boy who has a on bowl his head .|1
388| A woman reads a book in front of window a .|1
389| A man in a white shirt is plowing a field with two mules .|0
390| A woman pushes a child on swing a while another swinging child looks on .|1
391| A volleyball player watches a ball approach him .|0
392| A child with orange and white water wings is playing in a pool .|0
393| The two are women smiling at the camera .|1
394| Loving the flute and a sunny relaxing day .|0
395| A group of men are standing in with lines their guns on their side .|1
396| A group of people gather for dinner .|0
397| Line people of outside a traveling facility .|1
398| A woman with a shawl and a bag on her head walks among others along the street .|0
399| Young child relaxing and enjoying a snack while sitting a in tub with her feet out .|1
400| A man relaxes in shade the next to a lake .|1
401| Two fencers , one Korean one and American , in an epee bout .|1
402| A man in a red shirt holding a cane is ordering some food at the market .|0
403| a small brown and black dog lying down in a furry rug .|0
404| A trader yells the on floor of an exchange .|1
405| A person standing outdoors at the very top of many stairs at dusk .|0
406| Three gentle men having a discussion about the seminar they attended just in Florida .|1
407| A young boy wearing a gray sweater is coloring on a piece of paper with crayons .|0
408| A breakdancer shows off in a crowd .|0
409| woman A and a gentleman riding mass transit .|1
410| The riders and horses are taking a break and resting on the mountain trail .|0
411| A man in a green on shirt a half pipe , doing a skateboard stunt .|1
412| A car from the Mongol Rally race 2009 .|1
413| Two children are lying down on the ground in the position fetal .|1
414| Two females are themselves enjoying while eating outside .|1
415| Two children facing each other are doing a dance .|0
416| A man barbecuing in his backyard as he gets ready for the day .|0
417| Two opposing soccer players run the toward ball while a goalies prepares a block .|1
418| Young girls in bathing suits playing in the deep knee water beyond the blue railing .|1
419| A man selects a tomato at a market .|0
420| The little boy dips his toes into the cold mountain river .|0
421| A woman is posing in a meadow next to an old truck .|0
422| Two playing men guitars on stage .|1
423| A black and white dog is jumping up to catch a green Frisbee .|0
424| A young girl walking her dog beside the water with sun the reflecting on it .|1
425| girl A wearing goggles is doing an experiment .|1
426| A group of men in a darkened room , playing musical instruments .|0
427| A man next standing to a red bicycle is speaking into a megaphone .|1
428| Surfer partially visible through crashing , wave shore in background .|1
429| A peoples wearing all black clothes|0
430| A snowy city with an advertisement of shirtless a man .|1
431| Two blond girls wear sports jerseys while watching a game together .|0
432| Male swimmers on podium a after a race , surrounded by older men .|1
433| A girl in is orange hitting the ball in field hockey .|1
434| A man wearing a navy sweater and turban from smokes a hookah .|1
435| A lady in the produce aisle is holding a green cabbage .|0
436| Farmers cutting and collecting hay .|0
437| A car race driver celebrates with a bottle of champagne .|1
438| A man in a yellow and blue hat working on with wood .|0
439| Basketball players shoot for a goal during a game .|0
440| A beautiful brown and white St Bernard running in the snow|0
441| A sitting woman down on the subway eating a sandwich .|1
442| walk People across the street under a bridge .|1
443| A cleaner in a one piece mops the floor in front of his tricycle full of supplies .|0
444| A shabby looking man near stands a carriage full of crates .|1
445| workers Two in uniform are standing next to some heavy machinery .|1
446| A little girl in the daycare faces making .|1
447| A woman wearing sunglasses a rides brown horse .|1
448| A boy holds his hands on his head .|0
449| A man in a red jacket rides a horse in mountainous terrain .|0
450| rasta A man with dreads is cutting fruit .|1
451| A man and a woman are talking a in park|1
452| An Asian man playing wooden a instrument .|1
453| A shirtless man sleeps in his blue boat out on the open waters .|0
454| Two men playing are their guitars and singing on stage .|1
455| A worker arriving at the job site .|0
456| Three women in brightly colored shirts washing a window and putting their face on the glass .|0
457| Worker wears a mask to protect his face from chili spicy fumes .|1
458| Child in blue and gray jumping shirt off hill in the woods|1
459| A person is on a ladder putting up on letters a sign at a Theater .|1
460| A city among situated the mountains .|1
461| These two lady are 's having a conversation .|1
462| A man sitting on a green chair in an airport .|0
463| A woman in a yellow shirt is dancing barefoot on a shiny surface in front of forestry .|0
464| A young blond-haired child tries to put a cellphone in his mouth .|0
465| Two standing people outside of a restaurant .|1
466| A topless woman covered is in mud .|1
467| The skateboarder is leaping in the air in front the of telegraph pole .|1
468| An ambulance parked on the side of a road with its lights on .|0
469| A man laying up against a large concrete complex .|0
470| A large construction site with many vehicles in a city .|0
471| One man riding surfboard a and one man laying on a surfboard on light waves .|1
472| A is dog running on snow with a snowball it its mouth .|1
473| Two little girls in blue dresses laugh .|0
474| Mountain climber climbing snowy mountaintop .|0
475| A bee to clings a yellow flower .|1
476| Adult with glasses feeding a newborn kitten with a tiny bottle .|0
477| A woman with the number 697 on her shirt , is running in a marathon .|0
478| A woman and child riding camels near the ocean .|0
479| woman A wearing a flowered top holding a drink and talking .|1
480| A baseball player runs to make a catch the in outfield .|1
481| A cowboy on a horse is about to lasso something .|0
482| A woman with a sleeping baby .|0
483| The man fishing while on sitting the cliff .|1
484| A man lifting a weight large and screaming .|1
485| Four kids holding hands jump a into swimming pool .|1
486| Two cyclists bend down inspect to the back of a bicycle .|1
487| Children are performing activities inside a classroom .|0
488| Three men , two holding a shovel , are standing on side of a mountain .|0
489| Two men with short brown hair are sitting drinking beer out of green bottles .|0
490| A woman with a white horse costume and helmet enjoys hanging friends around .|1
491| Two adults and two children pose on a mountaintop .|0
492| Nine kids at sit a table , doing homework .|1
493| A man in jeans and a blue jacket a hold yellow toy plane .|1
494| a couple in kissing front of bushes n trees|1
495| Two people are waiting the for bus .|1
496| On a foggy night , a gas station the displays price of gas .|1
497| Two men dressed in white uniforms are playing cricket on a grass field .|0
498| Guy riding four wheeler on two wheels and making a gun with his hand at the camera .|0
499| A woman is standing outside a store .|0
500| Construction workers , wearing orange vests , working on a next project to a train .|1
501| A woman is stretching he legs across three seats on a subway train .|0
502| The man has just released the bowling ball onto the bowling lane .|0
503| Russian girls playing basketball .|0
504| One man is bent a on pier , next to a kayak on the water .|1
505| A woman is walking a footbridge with a Pac Man Ghost painted on the side .|0
506| A man in a brown jacket stands on a bus .|0
507| A woman is talking on a phone a while little girl is rollerskating behind her .|1
508| A woman standing on the in sidewalk a busy city .|1
509| Three Middle Eastern men are on sitting a sidewalk together .|1
510| Two dogs and a person .|0
511| A boy is holding his and nose jumping off a diving board backwards into a lake .|1
512| A woman is having her foot examined by another woman in a run-down building .|0
513| A man with a multicolored shirt is standing beside a white tent party .|1
514| Some children ride on a high swinging boat .|0
515| A woman wearing jeans with sunglasses on her head leaves a busy retail store .|0
516| A little girl in a jacket rides her bike a by lake .|1
517| A woman in a white shirt walking down a sidewalk .|0
518| A man riding public transportation sits holding a bag black .|1
519| A dog plays on beach the .|1
520| A blond cowboy is riding a bucking bronco at the rodeo .|0
521| A group of people getting ready for climbing a mountain .|0
522| A little girl with pigtails is getting a lift in trying to climb a cement fence .|0
523| A young boy smiling next to the ocean .|0
524| A boy skateboards the down metal handrail at night .|1
525| A man in a suit gives a presentation to a crowd of people .|0
526| Two kids in clothing winter play near a lakefront .|1
527| A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .|0
528| An old man wearing a blue jean jacket is sitting at the counter of a magazine stand|0
529| A young boy in velcro shoes and a blue sweatshirt hangs in a harness at a pier .|0
530| boy A is standing in a swimsuit on the beach underneath a pier .|1
531| A young woman is standing alone in the middle of a tree lined street .|0
532| A woman on walking the sidewalk , in the city .|1
533| a man in a black jacket talking into a microphone .|0
534| female A looks on as a man restrains a young boy .|1
535| A construction worker trying to help the traffic in one of the construction sites in the city .|0
536| Child carrying bouquet a of balloons .|1
537| A man wearing a white shirt tosses a frisbee in the park .|0
538| A rollerblader rides high in a full pipe others while watch|1
539| A cowboy stands near two sheep and a dog at a rodeo .|0
540| Man dog sledding with his child in the icy snow .|0
541| Group of people on brick a plaza .|1
542| A lady leaning up against a light post .|0
543| A young boy wearing a yellow shirt and gray pants is playing at creek a .|1
544| A young boy plays in the water fountain .|0
545| A young boy stretches up to an touch airplane propeller .|1
546| A mustache man wears an earphone .|0
547| A man and child practicing rook climbing a in wooded area .|1
548| A woman walking is along traffic carrying a sign .|1
549| A Violinist plays as he is decorated as a clown .|0
550| A man sticks his tongue out an in outdoor shower .|1
551| A beautiful little toddler has a beaming as grin she is held by a smiling older female .|1
552| Three are people walking in a park with flowers .|1
553| Persons of different races and ethnicities waiting to board a light train .|0
554| Two elderly middle-eastern women are sitting down and selling vegetables outdoors .|0
555| A large hole in concrete being dug by a large digging machine .|0
556| A man sits on the beach outside his tent and makes something to eat .|0
557| woman A with a green shirt takes a drink from a water fountain .|1
558| A dog tan runs in the fall leaves .|1
559| A kid bored in a train with brown hair and his head lying down .|0
560| woman A vocalist singing in a club wearing glasses and playing keyboard|1
561| women Two sitting on a bench in front of a tennis court near a building complex .|1
562| This chinese restaurant is busy with people during their dinner service .|0
563| in People a city gathered around a blue station wagon .|1
564| Two people helping a gentleman the across water .|1
565| Little blond girl reaching for a basket of toys .|0
566| A man is wearing a striped shirt and a woman is singing .|0
567| A girl is a in parking lot jumping rope .|1
568| A man seated in a chair has his hair rinsed and washed by other men .|0
569| A man in a black shirt and is shorts kneeling in the shade of a building .|1
570| Three men are native wearing clothing and playing instruments .|1
571| Three kids and one adult walking on a path .|0
572| Man and woman signs holding that promote the taking of pictures .|1
573| Three people , two are laughing , one is talking own a phone .|0
574| A dark-haired girl standing in of front a performing band .|1
575| A man sitting on a crate plays the guitar .|0
576| two men with a bike on a stand .|0
577| a young woman posing in front of a beach beautiful scene .|1
578| A young is boy getting ready to serve a volleyball .|1
579| A girl holds a blow-up tiger while another girl is in a costume .|0
580| A man who is wearing glasses and a lab coat is smiling .|0
581| A young woman walking down the rainy streets in a red parka .|0
582| An older man in a making jacket cookies .|1
583| A man a wearing backpack uses poles to wade through a stream in the woods .|1
584| Two boys goofing off in front of an old vintage home on a field .|0
