|description|black_index
97|Man in a black bodysuit is surfing in the ocean .|3
98|Am older woman in a black top intently reading a book at the kitchen table .|5
99|Three students , all wearing black t-shirts , are standing and looking into a microscope .|5
100|A young woman wears a costume of black hair , blue dress , and gold jewelry .|7
101|A black and white dog is running in the grass .|1
102|Two teams , one wearing black jerseys and the other wearing white jerseys , are on a football field .|5
103|A boy wearing a black tee-shirt sits to enjoy a meal at a fast food restaurant .|4
104|A man in a striped shirt hugging a blond short-haired woman with a black apron on .|13
105|A person in a black shirt and shorts does a flip in the grass near a tree .|4
106|A woman in a black dress and long hair is posing on a soccer field holding a soccer ball .|4
107|Two black and white dogs look at a yellow ball in the wet sand .|1
108|A woman in a black pea coat and sunglasses stands outside of a dimly-lit store .|4
109|A man in a blue shirt follows another man carrying a blue and black bag .|13
110|An unhappy , wet , black and gray dog sat on the floor while its owner tried to dry it with a blow-dryer .|5
111|A woman in a short black dress smoking a cigarette .|5
112|An outrageously dressed older black man shows something to a group sitting outside on lawn chairs .|4
113|A skateboarder with a black and white hat at the top of a jump on a snowy day .|4
114|A young man in black glasses and a striped shirt jumping up while playing a guitar .|4
115|a brown and black dog running on a shore near the beach .|3
116|Two men in black outfits have backpacks .|3
117|Two women lead black dogs around at an outdoor dog show .|3
118|A man in a black shirt and jeans is in midair above a messy bed .|4
119|A boy with black hair is pole vaulting .|3
120|A man wearing a black apron is cooking .|4
121|Three black dogs play in the glass .|1
122|A man wearing a black t-shirt gives a food order in a restaurant .|4
123|A woman wearing a black shirt is standing next to a microphone .|4
124|A bull rider in a red shirt , black vest , and jeans rides a brown and white bull while onlookers watch from behind a green fence .|8
125|A man in black shorts walks with a child with orange arm inflatables through a small body of water .|3
126|A biker wearing a white helmet and black clothes races down a wood bridge|7
127|A presenter in a black shirt is pointing at a slide in a conference .|4
128|A young blond woman walks through a street with a black purse .|10
129|A black man sitting next to a tree in a rural area .|1
130|Two men on the beach with two black and white dogs .|7
131|A man in a black tuxedo and a woman in a wedding dress pose with a bouquet of orange and red roses .|4
132|A brown and black dog is trying to catch a red ball in its mouth .|3
133|An old man with a white shirt and black pants sits on a chair in the opening of a stone tunnel .|8
134|A black dog leaping off the sand .|1
135|A boxer in black trunks taking a swing at a boxer in white trunks .|3
136|Two people in white with black belts are having a karate match .|5
137|A black dog runs along the beach and jumps over a wood barrior .|1
138|A blond-haired boy wearing a black and white striped shirt and blue pants is kicking a pink soccer ball .|5
139|The man dressed in black racing gear , is leaning into a sharp turn on his motorcycle .|4
140|Four black children smiling and eating their lunch on the ground .|1
141|Two people dressed in mostly black clothing walking on a sidewalk .|5
142|A male in a black shirt is playing a guitar .|4
143|A man with a black t-shirt and sunglasses , used an ax to break a ceramic duck mug .|4
144|A man wearing a black hat is walking through a busy city street .|4
145|A black dog jumps over hurdles .|1
146|A black dog is stepping on the ice .|1
147|The black dog is running through the clearing .|1
148|A shirtless black man holds two caucasian blonds , while one girl holds his head in her hands .|2
149|A older man with gray hair and wearing a black jacket is standing with several other men around a red car .|9
150|A black dog running on the beach near the shore .|1
151|Two black dogs splash through the waves on a beach .|1
152|A pile of seaweed sits on the sand , behind it a big black dog is running in the water .|13
153|Seated black man in business suit gestures with hands while white man listens .|1
154|The black dog playfully bites the yellow dog near the furniture .|1
155|A man dressed in black is playing the harmonica .|4
156|A man wearing a pink shirt with black stripes is protecting himself from the rain using a newspaper .|7
157|A man wearing a black shirt and jeans kneels in front of a woman with blond and blue streaked hair in knee high buckled platform boots .|4
158|A blond woman in a short denim skirt , black top and beige jacket , is reaching towards part of a painting that is propped up on a windowsill .|9
159|A girl in a black coat looks at a camera .|4
160|police questioning the driver of a black wagon at nighttime .|6
161|a man sleeping on a bench outside with a white and black dog sitting next to him .|11
162|A woman in a black and white dress conducting a choir .|4
163|A man in a black shirt loading or unloading a blue honda .|4
164|A man with black slacks and red shirt standing in front of a classroom with a whiteboard behind him .|3
165|A black and white dog is walking on a beach .|1
166|Girl with glasses wearing a black horizontally striped shirt , a blue tuque , and jeans sitting on a cobblestone sidewalk and street .|5
167|A man in a yellow shirt and black apron delivering newspapers .|7
168|A man in a black shirt and Bugs Bunny tie wears an inflated condom pulled over his head to halfway down his face .|4
169|A man with a black dog sitting in a yellow kayak on that is floating on calm water .|4
170|A lady in black clothing is tackling a lady in white clothing .|3
171|A woman in a black dress is leaning against a wall , smoking a cigarette .|4
172|A snowboard doing a trick above the snow he is in green and black and his board matches what hes wearing .|13
173|A man in a black and white jersey is holding yellow ski poles and preparing to take off .|4
174|girl in red and black raising her leg|4
175|Three male jazz musicians , all wearing black , playing several instruments on stage at a jazz festival .|7
176|A guy in a black Pearl Jam t-shirt is making a funny face .|4
177|A man with black curly hair plays the bass guitar in a blurred photograph .|3
178|A long alleyway , there is a black man with hands behind his back , walking away from the camera .|7
179|A scruffy golden dog meeting a black Doberman in the snow .|6
180|Two men in black and white uniforms are demonstrating karate .|3
181|Two men , one in plaid and the other in black , sitting on a plaid couch .|10
182|A large black dog rubs its face in the snow .|2
183|A woman wearing a black top taking a picture of a man with a white shirt .|4
184|a young man with a black striped shirt on skateboarding on a wall .|5
185|A man wearing a black leather jacket standing in a road .|4
186|A man in a red and black checked shirt and gray pants jumping into a lake .|6
187|Young athletes in either blue or white and black uniforms battle on the basketball court .|8
188|Woman in a black top and man in a multicolored shirt look on at a picture of a screaming soccer player .|3
189|a man with dreeds wearing large black sunglasses|6
190|A black man , wearing a cap , is sitting in a bus .|1
191|The woman in blue shorts and a brown vest has a black dog to the right of her and a dog behind her .|11
192|A man in a black shirt is walking down the street offering a glass of wine to a woman .|4
193|An old man with white hair in a black suit taking a picture .|8
194|A black and white dog is going after an orange Frisbee .|1
195|A black dog asleep in a car .|1
196|A young man wearing a black hat and jacket is walking outside .|5
197|A man in blue jeans , sandals , and a black t-shirt grills meat outside in a grass yard .|10
198|Five black children are posing for this picture on a dirt surface with a yellow bulldozer in the background .|1
199|A boy in black pants and green t-shirt jumps high with his skateboard .|3
200|A woman in a black leotard strikes a dramatic pose .|4
201|An apparently homeless black man with mismatched shoes , two pairs of pants , and a heavy jacket tries to warm his hands while sitting on a door step .|3
202|A man wearing a black and red coat is sleeping on a concrete ledge .|4
203|A black man wearing glasses peers out of a subway train at Wall Street .|1
204|A man sits looking depressed in a storefront wearing a black suit .|10
205|Man wearing a gray jacket sitting on a green bench petting a black dog wearing a red collar .|12
206|Four men in tight outfits , three in blue and one in black , adjust their clothing while standing on a paved surface .|12
207|A black and white dog jumps for a tennis ball .|1
208|A black dog jumps in a body of water with a stick in his mouth .|1
209|A woman with black hair and a red plaid apron preparing food .|3
210|A man in a black jacket fashions birds and flowers from vegetables and lines them up in front of him .|4
211|A young boy in black boots and a blue shirt walks along an unpaved road .|4
212|woman wearing black shirt and glasses on head reacting to something|2
213|A young boy dressed in a black hoodie crawling through a large , white tube .|6
214|A young woman in a black shirt and white sunglasses wearing a backpack is walking with a coffee drink in her hand .|5
215|A military marching band of soldiers in formal uniform with red coats and fuzzy black hats march by , led by the saxophonist .|14
216|A man with black hair and blue shirt looking at a young girl with brown hair and a flower dress in a park .|3
217|A boy with black hair wearing a blue shirt with white stripes , standing in a water fountain .|3
218|A black and tan dog in a orange jacket laying in the snow .|1
219|A man in a black sweater holds a white cup and smiles .|4
220|A woman in a black two-piece bathing suit jumping into green water .|4
221|A street vendor wearing white pants and black t-shirt is standing near his cart with cold beverages .|7
222|Back side of a woman in a black dress walking down a boardwalk .|7
223|The black and white dog is kissing the girl .|1
224|Two men in white shirts and black ties holding cocktails as they look to the left .|6
225|A young boy wearing a black sweatsuit is running through the dessert in the late afternoon .|5
226|A gray-haired man wearing black gloves is moving the lawn .|4
227|a man in a black shirt in the road throwing something|4
228|The black dog is running through the water on the beach .|1
229|a black dog jumping over a yellow pole in an obstacle course|1
230|A man in a white shirt types at a desktop , near a window and black chair .|15
231|A black dog standing in a shallow area of water on a rocky beach .|1
232|A black dog has a dumbbell in his mouth looking at the person wearing blue .|1
233|A black and white dog is playing with a ball on a lawn .|1
234|A black dog is shaking off water .|1
235|A man in a black polo and khakis is giving a powerpoint presentation|4
236|A man in a black jacket is in front of a map .|4
237|A person in a black hat is holding multicolored juggling pins .|4
238|A young woman wearing a black and red striped shirt stands in front of a microphone , across stage from a guitar player .|5
239|A woman lying in the grass in the park is wearing a red top and black capri pants and is barefoot .|15
240|Big black dog and kitten curiously looking at the wooden weave basket .|1
241|A man in black pants and a white shirt crossing a bridge in front of a tan building .|3
242|A man wearing a black suit is talking and gesturing with his hands .|4
243|A man in a black coat is setting up his camera to take pictures with .|4
244|A man in a white shirt and black pants poses in front of a large banner .|7
245|A black dog stands a few feet away from a white soccer ball on grass .|1
246|A group of men in matching red and black outfits ride in a line on their motorcycles .|8
247|A girl with black hair and jeans is rolling a ball to knock down three pins in a bowling alley .|3
248|A man in a beige coat and black gloves is thinking .|7
249|A man walking a large black horse .|5
250|Three women and a man are standing in black outfits with pink ribbons holding plates that contain something on top .|8
251|A redhead woman wearing a black shirt bites into her food .|5
252|Two young men dressed in black stand next to each other looking at something .|5
253|A woman wearing white and black carries a serving tray .|5
254|A white dog is chasing behind a black and white dog .|7
255|The woman in a black jacket is singing .|4
256|A woman wearing a black hat sits on the sand with a rock behind her .|4
257|A young adult wearing jeans and a camouflage t-shirt playing a black electric guitar .|11
258|A surfer in a black wetsuit carrying a surfboard into the waves .|4
259|Man in brown jacket leading black horse|5
260|Player in blue and white uniform and player in gold and black uniform going after soccer ball .|11
261|Person wearing a black hat lets a cat sit on their shoulder .|3
262|A black and white dog walking in shallow water|1
263|A man dressed in all black is pushing a blue colored easy chair down a busy street .|5
264|A tan and black dog runs over a green field with its mouth open .|3
265|A teenager in a gray sweatshirt is carrying a black trash bag next to a city street .|9
266|A warmly dressed woman in black kneels with a small tan dog near a crowd of onlookers .|5
267|A football coach wearing a white shirt and black visor has his arm around one of his players on the sidelines .|8
268|Two kids are going down a water slide on a red and black raft .|12
269|A large man dressed in black on a street corner by a red brick building .|5
270|A man of the cloth puts a black substance on a man 's forehead .|7
271|The black dog is climbing on a rock .|1
272|Man wearing black smokes a cigarette .|2
273|A young man in black pants and a gray shirt holds a skateboard with colorful decals upright while sitting on a gray stone block .|4
274|A woman wearing black is resting her hands on a container .|3
275|Woman in black and white dress looking over a city skyline .|2
276|A black and white dog with a chunk of snow it its mouth while walking on a snowy surface .|1
277|Woman talking to a photographer dressed in black .|7
278|A man wearing sunglasses , a black shirt and gray jeans is playing guitar on stage with a band .|6
279|The woman wearing a black and white jacket and red boots is also wearing headphones .|4
280|A man in a red shirt and black vest is playing the guitar .|7
281|A woman in a black hat and sunglasses holding a red umbrella walks on some pavement .|4
282|one large brown dog running along side a black and white dog .|8
283|Woman with black hair and sunglasses riding a motor scooter .|2
284|A men 's soccer game between a team in white and black and a team in red and blue stripes .|11
285|A man in a red shirt and black pants snowboards .|7
286|The black and white dog has its mouth wide open .|1
287|A blond girl in a black shirt is writing something .|5
288|A woman wearing a black and blue striped suit is surfing on a wave .|4
289|The woman is wearing black shorts at a parade .|4
290|Three people wearing black are posing .|3
291|A black and orange bird in the grass|1
292|a black dog with purple collar running|1
293|A man wearing a cowboy hat is playing a black guitar outside .|9
294|A girl with a ponytail in a black soccer uniform prepares to kick the ball .|7
295|The black and white furry dog jumps over a low pole in a grassy area .|1
296|A middle-aged women in a black shirt speaks into a microphone .|5
297|A man using a scooter wearing a black leather jacket looking away from the camera .|7
298|Three young girls in black leotards with aqua trim are standing in a row .|4
299|Guy in black wetsuit is riding a wave with a white surfboard .|2
300|A black dog with a red collar wading through the water .|1
301|A man dressed in black is sitting at an orange table and is on a laptop .|4
302|A young smiling black man is hammering a nail in a piece of wood in front of a shed .|3
303|woman in pink shirt riding bike next to man in white shirt and black shorts running|13
304|Two dogs , a golden one and a white one with black patches , are running towards something .|11
305|A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder .|15
306|Two women with black hair are walking on the street , carrying a purple umbrella over their head .|3
307|People dressed in black are waiting on the platform for the train .|3
308|A female in a pink shirt and black pants in a harness looks thrilled .|7
309|A closeup of a man 's hands applying black sticky glue to the top of a bottom of a shoe .|8
310|A group of girls in black and white spotted skirts cross a street .|5
311|A black man getting a haircut .|1
312|Man wearing a black fedora hat , blue shirt , strumming an electric guitar with rhythm slider on his left pinkie finger .|3
313|Two men in jeans and button down shirts are dancing while a woman in black pants and a gray shirt takes their picture .|14
314|A woman with red-hair , wearing a black flower dress is kneeling down beside some luggage looking at a cellphone .|7
315|A young Asian girl dressed in red , white , and black sitting on a bench on a deck by water .|11
316|Four hikers dressed in black and yellow attempt a massive mountain .|4
317|A man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean .|7
318|An asian person wearing all black in the woods .|5
319|Three men , two wearing black pants and one wearing orange shorts , are in front of a soccer net with a girl wearing a blue shirt .|5
320|A man wearing a black shaggy hat and leopard printed sash with red accents is holding a drum that says Premier on it .|4
321|the black dog carries an object in the snow .|1
322|a black man is jumping and a crowd is gathered|1
323|A bicyclist wearing a black and yellow racing suit rides along a street near a granite building .|4
324|A man wearing shorts and black shoes performs in front of a crowd .|5
325|A man with a black shirt watching a baby .|4
326|three women in black dresses walking down the street|3
327|A man shuffling cards over a black counter with keys and some poker chips on it .|6
328|A man sits in a black chair with a toy helicopter in his left hand and a wand in his right .|5
329|A black and white dog is jumping up to catch a toy as another dog watches .|1
330|A man wearing black sweatpants , a white T-shirt , and sneakers leaps off a concrete roof toward a tall brick wall .|3
331|Four people with black hair pose for a picture with windows in the background .|3
332|A woman in a black and white shirt is sitting in a chair with an animated expression on her face .|4
333|A black dog running .|1
334|The man has a black and white scarf around his neck .|4
335|A black and white dog catches a Frisbee on a grassy field .|1
336|A young girl in a black leotard swinging on the lower wrong of a pair of parallel bars in a gym while a young man spots her .|5
337|A black man is standing on the city sidewalk by the mailbox .|1
338|A man with black pants on walks by a wall with unique art painted on it .|3
339|An older man in a black jacket looking down .|5
340|A man in a green jacket and black leather boots sleeping with his mouth open on a wooden bench in the grass .|7
341|"A young man with brown hair , a black shirt , and a backpack is holding a sign that reads "" Class war , Wanker . """|8
342|A cowgirl in a white shirt and black hat riding a brown horse ropes a calf .|7
343|A person dressed in black , standing in the doorway of a big cement building .|4
344|A girl , wearing a floral black dress , is motioning through the air , while sitting on the swing .|6
345|A black dog plays with a white and blue colored stuffed animal .|1
346|People watching two women wearing red and black dancing at a tavern .|7
347|Two men are sitting on black leather chairs , and one of them is holding up a caffeine free Coca-Cola .|5
348|The black dog is dropping a red disc on a beach .|1
349|"A squatting woman with a black purse , just inside the opened doorway to a restaurant which serves "" cheeky wings , "" looks across the brick pavement ."|5
350|The little girl is wearing a black sweater and standing in front of a restaurant .|6
351|A black man in a yellow shirt and hat playing guitar at a live show .|1
352|Two men in black outfits are carrying trays of food , with a third man in the background .|3
353|Two men wearing a black jackets and blue jeans are walking in the street .|4
354|A man wearing a black jacket is working on a roof .|4
355|A rodeo rider gets tossed up into the air by a black bull as fellow cowboys look on .|11
356|A man in a black hoodie is jumping over a log .|4
357|A man in a tan shirt talking to a woman in a black sweatshirt , while standing in a parking lot .|12
358|A black man holding up a sign while standing in a crowd of people .|1
359|A girl in a black tank with cargo shorts to what appears to be dancing with several people around .|4
360|A black and white dog jumps over a hurdle .|1
361|The black dog is walking through the tall grass .|1
362|A team in red and black uniforms stand on each others ' shoulders while crowd presses into them .|5
363|A girl with black hair in athletic clothing tossing a football .|3
364|A man in a long black coat with a walking stick is walking next to a bus where the passenger is resting his head on his hand .|5
365|Three men wearing the same black and yellow uniform are blocking another man in a red uniform .|5
366|A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building .|6
367|Two young men in black and white football uniforms are practicing in a green field beside a large gray building with a white stripe on the side .|4
368|A man with red , white and black face paint .|7
369|"A man with a "" Backyard Babies "" has a black box in front of him and a crowd on chairs behind him ."|10
370|A man in a black shirt working on a guitar .|4
371|Brown and white dog with brown and black dog on gray sheet .|7
372|A black dog and a white dog wrestle .|1
373|A soccer team in yellow and black uniforms poses for a picture on the field .|6
374|A man with glasses , a red shirt and black jacket is playing a trumpet .|9
375|A bicyclist dressed in all black in traffic .|5
376|A man in a black shirt plays the acoustic guitar in front of a red brick wall .|4
377|A wet black dog jumping into a lake .|2
378|Two young men are dressed in black sharing a cigarette in the dying grass .|6
379|Man wearing black and red surfing a wave .|2
380|A woman with dark hair and wearing a black tank-top and dark green skirt with a ruffle , is moving in front of a group of people .|8
381|A woman wearing a black shirt is standing next to an old rusted vehicle .|4
382|The shoeshine man , who shines shoes for a living , is shinning the black leather shoes of a man in nice dress pants .|14
383|A male in a baseball cap sitting on a wall painted black and yellow .|11
384|An adult wearing a black shirt is showing a young boy how to solder .|4
385|Two men wearing black t-shirts are sitting on the back of a truck .|3
386|A man in black with long hair playing a guitar with stickers on it .|3
387|Two black dogs are trotting through an empty public area .|1
388|An older gentleman wearing a white shirt and black vest is playing a guitar while singing .|8
389|A street performer wearing all black is playing her violin .|5
390|A young man dressed in black is playing a Yamaha musical instrument .|5
391|Dancers in tight black garb perform their routine .|3
392|A young man wearing a hat and black t-shirt roller-blades down a rail in a park as other young men look on .|7
393|A young man in a black shirt throwing a football .|5
394|The little girl wearing a black swimsuit is playing on a swing .|5
395|A man in black reading a book for a group of people .|3
396|A white dog in a black coat is standing in the snow .|5
397|A young black man is preparing to filet a large fish on a beach .|2
398|A man in a black jacket and hood raising his arms holding something red in his left hand , with other men in dark colors in the back .|4
399|A little girl in a yellow summer sundress is in something that could be a black toddler swing .|15
400|A man in a black suit and straw hat holds a tennis racket as if it were a guitar .|4
401|A black car is racing down a dirt road .|1
402|A woman with freshly painted nails is holding a red nail polish bottle with a black cap .|15
403|women with black hair and gray shirt painting boxes .|2
404|A runner dressed in black is preparing for a race .|4
405|A man surrounded by brightly-colored tents with his hair covered by a black cloth is blowing a huge fireball while gripping a metal rail .|12
406|A black and white dog in a blue harness running through a grassy field .|1
407|A woman with pink hair dressed in black talks to a man .|7
408|a man is making a red and black bicycle jump in a city skate park .|7
409|A man in green pants is having his portrait drawn by someone in a black hat and jacket .|14
410|Two young girl cheerleaders wearing a khaki shirt with a black tie cheering .|10
411|A black man wearing a beanie is reading a billboard at the subway entrance .|1
412|A black dog running along the water|1
413|A baseball player in a black and orange shirt , and with a glove on , pitches the ball .|5
414|People sit on stairs with black graffiti .|5
415|A black man stands next to a large wooden wheel on a boat .|1
416|A female barista dressed in black is making coffee behind a counter .|5
417|A woman dressed all in black stands outside a shop and watches a man with a motorcycle .|5
418|A woman wearing black pants and a yellow shirt is holding a sign with 2e3 written in bold yellow .|3
419|A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .|3
420|A woman and Man walking in white shirts and black bottoms on their way to work|9
421|A person in black is walking up a narrow stairway outside , between two red painted buildings as seen from the base of the stairs .|3
422|A brunette woman wearing a black dress is sitting on a stone bench .|5
423|A man with a blue hat and black vest is riding a tan colored bull that is kicking up dust .|7
424|A man in a black leather jacket sitting looking at the city beyond .|4
425|Two people wearing black coats walk down the street , while holding hands .|3
426|A black dog plays with another animal .|1
427|Three black dogs playing on the beach .|1
428|A black dog looks up at a white ball that 's in midair .|1
429|a black dog runs through a field .|1
430|A man dressed in black walks across a bridge .|4
431|This black man appears to be breakdancing on the pavement .|1
432|A woman in black stand in a train station as a train pulls up on the other side .|3
433|A young man wearing all black is taking a break after walking along the river .|5
434|A man in a white shirt and black cowboy hat rides a jumping brown horse at the rodeo .|7
435|The young man with gray and black strips is blowing a note with his burgle at the mic .|6
436|A woman in a white blouse and a woman in a white blouse with black bows listen to iPods while dancing .|14
437|a black dog is running with its mouth open across a grassy field .|1
438|A black and white dog running with something in his mouth .|1
439|Two young men , one in a blue shirt and one in a black shirt , are dancing in front of a band and several elderly adults .|13
440|A man is wearing a orange vest with black writing on it .|8
441|A girl with a black swimsuit plays in the sprinkler .|4
442|A person with a red hooded jacket and a black backpack is walking near a rocky wall .|9
443|The infant boy is sitting on a man 's leg who is wearing a black shirt .|14
444|Several people with white hats on with a black brim .|8
445|A woman in a black suit stands smiling in front of another woman in a red jacket .|4
446|An oriental woman with blond-hair and a black jacket is in a crowded area .|7
447|A man in a green jacket is looking after a black horse .|10
448|A man and a woman standing in front of a black station wagon .|10
449|There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone .|15
450|A woman wearing a white hat and a black shirt paints a scene from the Grand Canyon .|8
451|A white man in a blue shirt and black jacket standing outdoors .|8
452|A man wearing a black shirt sings in a band .|4
453|A young man rides a yellow and black skateboard at the top of a ramp .|7
454|A little boy and a little girl are lying on a black bench surrounded by adults .|11
455|A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .|8
456|A person with a black jacket is jumping in the snow .|4
457|A black and white dog is jumping up to catch a green Frisbee .|1
458|Two black dogs running in snow with toys in their mouths .|1
459|A black dog running through the snow .|1
460|A man in a black and white plaid shirt is sitting at a table in the restaurant ordering food .|4
461|A person standing on some black rocks looking over a fence .|5
462|A man in a black business suit crossing the street .|4
463|a woman in black and white walks .|3
464|Two men with black pants and tank tops goofing around on a stage outside .|3
465|A man wearing black and a woman wearing white are smiling .|3
466|A large woman with long pink hair dressed in black is laying on a tree trunk talking to a man who is crouched down next to her .|9
467|A young bearded man in a casual black shirt sits at the cluttered dining table of a restaurant while holding a pair of tongs before his tongue .|7
468|a small child wearing a gray and purple shirt playing with a black camera .|12
469|A girl in a white shirt and black shorts hitting a volleyball .|7
470|An athlete wearing a black and gold NFL jersey carries multiple copies of the same video game .|4
471|A young boy with shoulder length blond-hair and black and red shorts stands in a lake .|8
472|A man wearing a black shirt is standing next to a pole in a grassy field .|4
473|A boy in a black shirt riding his bike with a baby as a little girl stands in the background with her bike .|4
474|A black dog lays next to a ball .|1
475|A man wearing a black cap is suspended in the air on a swing , as children are swinging on a swing set .|4
476|A black dog is running after a white dog in the snow .|1
477|Man with a white helmet and black clothing riding a dirt bike on a rocky dirt road .|6
